# TESS Program G05109

Title: Constraining The Low-Mass End Of The Stellar Mass Function With TESS

PI: Marocco, Federico - California Institute Of Technology

Type: SMALL

Summary: We will constrain the functional form of the low-mass end of the stellar mass function using TESS 2-min cadence data for 2817 objects within 20 pc of the Sun, 383 of which are the targets of this proposal. The light curves will be used to search for overlooked stellar and substellar companions through identification and analysis of eclipsing binaries, transiting companions, and composite light curves. By including the 383 objects proposed here to the list of 2-min cadence targets, TESS will provide 2-min cadence data for ~64% of objects within 20 pc of the Sun.
611796126,9.7547,30.6173,16.81,G05109
117956546,0.5482,27.0759,5.04,G05144;G05109;20SECONDTARGET
269744862,356.5592,28.4348,10.52,G05107;G05152;G05109;20SECONDTARGET
283789203,359.4392,23.3014,15.63,G05109
406543332,358.2852,29.0182,8.33,G05109
432484802,355.7173,30.8208,11.42,G05152;G05109;G05087;20SECONDTARGET
611896100,5.1293,33.0823,18.91,G05109
150899677,4.0721,19.8593,10.57,G05152;G05109
150899679,4.0658,19.8556,9.6,G05109;G05121
258878447,2.2243,20.8388,10.61,G05152;G05109
336777483,14.1644,17.4579,11.02,G05152;G05109
52005579,3.9592,13.5583,10.18,G05152;G05087;G05109;20SECONDTARGET
611513921,6.9852,22.3249,18.29,G05109
113710966,25.622,20.2642,4.49,G05144;G05112;G05109;20SECONDTARGET
13886484,12.64,24.8165,10.07,G05109
271751654,355.035,60.6861,9.48,G05109;G05121
272230773,355.9615,61.0354,16.69,G05109
283722336,348.345,57.1702,4.63,G05144;G05114;G05109;20SECONDTARGET
431515565,357.0191,49.0164,10.09,G05152;G05109
444314028,352.8562,59.1662,6.0,G05144;G05109;20SECONDTARGET
452882440,2.875,59.1385,17.55,G05109
2041701536,341.7058,44.3314,18.27,G05109
176974035,355.4778,44.1713,16.35,G05109
288144896,355.9597,32.5459,13.05,G05084;G05101;G05115;G05081;G05109;20SECONDTARGET
352593978,355.7837,36.536,9.81,G05152;G05109;G05087;G05121;20SECONDTARGET
432277901,355.0967,34.5545,12.51,G05107;G05152;G05109;20SECONDTARGET
177638351,359.6872,46.7292,7.86,G05109;G05121
2041266723,359.964,47.7618,19.32,G05109
424009747,10.2082,40.1829,6.5,G05112;G05144;G05109;20SECONDTARGET
439949948,1.4285,45.8094,7.42,G05144;G05109;20SECONDTARGET
439949978,1.299,45.785,16.12,G05109
439967669,2.0256,47.9507,10.13,G05152;G05109
440065990,3.9119,47.5893,8.81,G05109
600719562,14.2635,45.0842,19.45,G05109
412640672,329.653,61.2849,16.23,G05109
12962152,343.5854,60.9932,18.48,G05109
2050290375,346.8916,68.667,18.89,G05109
2051063799,346.6643,71.7244,18.34,G05109
364075630,306.2171,74.2109,12.19,G05152;G05109
1978213595,310.8367,55.3536,19.59,G05109
352702352,308.4204,61.759,17.48,G05109
365670764,313.3325,62.1495,6.74,G05123;G05144;G05109;G05121;20SECONDTARGET
372682437,311.3235,61.844,2.58,G05155;G05109;20SECONDTARGET
287197149,292.777,58.5835,5.8,G05144;G05155;G05109;20SECONDTARGET
359676790,280.6781,59.6418,6.72,G05109
392572237,280.6778,59.6387,7.32,G05087;G05123;G05109;20SECONDTARGET
233212451,267.0088,70.8837,13.27,G05115;G05084;G05081;G05109;20SECONDTARGET
236770208,274.3005,68.5452,12.49,G05152;G05109
259237827,293.1009,69.6502,3.94,G05144;G05155;G05109;20SECONDTARGET
420130591,291.0773,75.557,11.87,G05152;G05109;G05087;20SECONDTARGET
199574210,248.5768,57.1664,16.09,G05109

# Sector 058 targets observed (2 min: 43, 20 s: 15)
116988032,47.2791,49.6127,3.5,G05155;G05109;20SECONDTARGET
385048602,50.7597,42.0031,12.19,G05152;G05087;G05109;20SECONDTARGET
327507922,25.4535,42.6124,4.4,G05155;G05144;G05109;20SECONDTARGET
621020214,34.7681,35.3531,19.15,G05109
22750743,38.4052,24.9228,10.2,G05152;G05087;G05109;20SECONDTARGET
436856183,41.0707,25.5211,8.28,G05152;G05109;G05121
471012358,39.1963,32.0718,11.18,G05109
35025268,48.5542,28.6729,13.02,G05152;G05087;G05109;20SECONDTARGET
77546087,43.0374,34.383,8.22,G05109
373694425,26.9452,63.8509,4.91,G05144;G05106;G05109;20SECONDTARGET
256316623,15.3384,61.3606,8.71,G05152;G05109;G05121
256419669,15.672,62.3456,7.6,G05144;G05114;G05109;G05121;20SECONDTARGET
256423786,15.6254,63.544,12.71,G05109
285129057,12.3466,65.3011,15.24,G05109
312545623,12.8933,58.3046,9.02,G05109;G05121
445258206,12.2891,57.8116,2.85,G05155;G05144;G05109;20SECONDTARGET
452882440,2.875,59.1385,17.55,G05109
607155079,15.8393,62.3672,19.4,G05109
415880325,27.915,46.878,12.15,G05109
348225836,34.9846,59.323,13.54,G05152;G05109
445501344,29.8524,58.5204,16.23,G05109
624756999,37.8752,57.3773,20.48,G05109
12962152,343.5854,60.9932,18.48,G05109
2050290375,346.8916,68.667,18.89,G05109
2051063799,346.6643,71.7244,18.34,G05109
271751654,355.035,60.6861,9.48,G05109;G05121
272230773,355.9615,61.0354,16.69,G05109
420470810,8.1399,67.2313,16.52,G05109
420470817,8.1513,67.2328,9.99,G05109
444314028,352.8563,59.1662,6.0,G05144;G05109;20SECONDTARGET
397795649,8.6673,71.1928,11.06,G05152;G05109
407457205,5.8461,77.1896,9.35,G05109;G05121
608937163,15.6609,71.6811,19.48,G05109
364075630,306.2171,74.2109,12.19,G05152;G05109
420130591,291.0774,75.5571,11.87,G05152;G05109;G05087;20SECONDTARGET
352702352,308.4204,61.759,17.48,G05109
365670764,313.3325,62.1495,6.74,G05123;G05144;G05109;G05121;20SECONDTARGET
259237827,293.1009,69.6501,3.94,G05144;G05155;G05109;20SECONDTARGET
287197149,292.777,58.5835,5.8,G05144;G05155;G05109;20SECONDTARGET
233193964,264.1024,68.3311,6.85,G05123;G05109;G05121;20SECONDTARGET
233212451,267.0087,70.8837,13.27,G05115;G05084;G05081;G05109;20SECONDTARGET
236770208,274.3004,68.5452,12.49,G05152;G05109
199574210,248.5768,57.1664,16.09,G05109

# Sector 059 targets observed (2 min: 47, 20 s: 15)
259737046,75.8635,53.1186,8.24,G05109;G05112;20SECONDTARGET
311064351,85.3781,53.4865,7.89,G05109;G05121;G05144;20SECONDTARGET
368326352,79.1731,45.9952,-0.7,G05109
368483043,79.3503,45.836,11.19,G05109
704427628,90.6224,49.8632,19.57,G05109
355147120,71.5814,48.746,18.57,G05109
410193988,64.9742,42.5514,14.94,G05109
668061381,63.2423,52.6093,20.14,G05109
467677978,60.826,35.2646,7.65,G05144;G05109;20SECONDTARGET
662088803,67.607,39.8495,19.9,G05109
663338295,73.1529,40.7033,19.57,G05109
239097694,84.8588,40.6399,13.5,G05103;G05152;G05109;20SECONDTARGET
409104974,79.7897,40.0948,4.13,G05155;G05109;20SECONDTARGET
103348849,65.5035,75.1381,9.97,G05152;G05109;G05121
280978672,68.3197,68.7796,15.7,G05109
280978676,68.3296,68.7792,12.95,G05152;G05109
670784433,62.0651,74.383,19.77,G05109
705093308,90.2011,68.1386,20.09,G05109
99501428,90.2135,68.1493,10.47,G05152;G05109
408660216,47.7731,73.7662,16.72,G05109
85623046,57.0094,68.6791,9.42,G05109
669319381,67.8133,58.9698,12.12,G05109
669787515,63.0699,64.731,19.02,G05109
322347050,90.2947,59.5913,9.13,G05123;G05152;G05109;G05087;G05121;20SECONDTARGET
66302556,72.2758,63.2862,11.92,G05109
66406934,73.6252,65.0774,11.36,G05152;G05109
702822186,86.4488,62.2346,17.3,G05109
71038757,91.3763,60.8179,10.95,G05152;G05109
87302032,78.8782,59.1807,15.5,G05109
407457205,5.846,77.1896,9.35,G05109;G05121
608937163,15.6609,71.6811,19.48,G05109
649307922,44.3355,76.5488,19.7,G05109
138421058,92.585,82.0982,8.32,G05123;G05109;G05121;20SECONDTARGET
289972535,118.9585,83.3809,10.43,G05143;G05152;G05109;G05087;20SECONDTARGET
357936741,50.3558,79.9691,9.13,G05109;G05121
401532771,63.5201,82.2565,12.11,G05107;G05152;G05109;20SECONDTARGET
461635003,19.9504,84.1604,18.4,G05109
364075630,306.2171,74.2109,12.19,G05152;G05109
420130591,291.0774,75.5571,11.87,G05152;G05109;G05087;20SECONDTARGET
259237827,293.1009,69.6501,3.94,G05144;G05155;G05109;20SECONDTARGET
160422712,235.3403,75.9882,9.81,G05109;G05121
233193964,264.1024,68.331,6.85,G05123;G05109;G05121;20SECONDTARGET
233212451,267.0086,70.8837,13.27,G05115;G05084;G05081;G05109;20SECONDTARGET
199574210,248.5768,57.1664,16.09,G05109
287197149,292.777,58.5835,5.8,G05144;G05155;G05109;20SECONDTARGET
359676790,280.678,59.6418,6.72,G05109
392572237,280.6777,59.6388,7.32,G05087;G05123;G05109;20SECONDTARGET
