# TESS Program G06032

Title: Ephemeris Refinement For The Esa-Ariel Mission

PI: Edwards, Billy - Sron, Netherlands Institute For Space Research

Type: MINI

Summary: The ESA-Ariel mission will characterise the atmospheres of ~1000 exoplanets. To facilitate this survey, it is critical that the ephemerides of these targets are well-known. We propose to ensure that there is 2-minute data for key currently known exoplanets and TESS Planet Candidates. These data will allow for accurate measurements of the transit mid-time and, therefore, of the planet's period. Hence, we will use the requested data to support the Ariel mission by refining the ephemerides of hundreds of targets.
420051632,36.3639,1.0574,9.47,G06200;G06032;20SECONDTARGET
422653398,29.0012,0.1797,11.02,G06032
422655579,29.2635,0.7588,10.16,G06062;G06165;G06058;G06032;G06203;G06142;20SECONDTARGET
258804746,37.7662,8.3814,9.52,G06200;G06058;G06032;20SECONDTARGET
387544178,44.2451,7.8593,12.44,G06148;G06032
408824640,39.065,13.5042,12.5,G06032
21119973,36.1367,24.1016,13.49,G06032
246965431,35.2137,23.5202,12.08,G06032;G06144;20SECONDTARGET
247409676,42.1763,20.8094,12.39,G06032
408643099,35.9112,15.4829,13.19,G06032
408743161,36.5818,15.8904,12.57,G06032
426448042,40.202,18.8218,13.46,G06032
436843539,40.4512,24.1023,12.43,G06032
436873727,42.5584,25.3335,7.13,G06200;G06191;G06032;G06148;G06144;20SECONDTARGET
125735470,56.6603,27.4715,9.09,G06032
25911962,51.4406,23.1887,10.04,G06032
26017005,52.3421,22.2993,12.55,G06165;G06058;G06032
28961316,50.2753,25.2972,11.32,G06032
29017001,50.7872,24.69,9.58,G06200;G06032;20SECONDTARGET
34646336,45.2046,27.3196,13.43,G06032
34781378,46.3307,28.1858,12.07,G06032
35022727,48.4355,25.1973,12.22,G06165;G06058;G06032
427578289,54.9102,28.9806,13.37,G06032
303502327,51.0293,12.4359,12.63,G06032
435259601,51.9998,12.5234,13.26,G06032
435336785,55.1409,13.5528,6.79,G06200;G06032;20SECONDTARGET
468880077,56.5049,9.9903,9.45,G06200;G06032;20SECONDTARGET
118820486,70.3742,21.2577,10.41,G06032
17150865,64.645,19.179,12.51,G06058;G06032
17457400,66.8003,20.7749,13.37,G06120;G06032;20SECONDTARGET
245793479,67.1577,14.5333,12.59,G06120;G06032;20SECONDTARGET
245947683,70.3751,14.8155,10.21,G06032
283605976,61.9,11.5175,11.79,G06032
434226736,63.2742,15.2477,13.03,G06040;G06036;G06165;G06058;G06120;G06155;G06032;20SECONDTARGET
436637677,72.1649,12.9552,11.46,G06148;G06032
150006846,69.8413,27.288,12.67,G06032
171160885,67.9988,32.8694,12.5,G06148;G06032
17385917,66.1422,23.2707,10.66,G06032
18310799,67.4131,22.8825,10.12,G06040;G06036;G06124;G06165;G06058;G06120;G06032;20SECONDTARGET
18373995,71.0227,22.5676,12.36,G06032
23113034,60.8383,25.3438,8.35,G06032
284173938,68.629,32.4766,12.88,G06032
284174392,68.5395,32.8069,13.25,G06032
349582831,66.935,33.0862,12.43,G06032
467651916,60.6,31.3294,7.78,G06200;G06032;G06144;20SECONDTARGET
467684543,60.9647,31.776,12.54,G06032
56399553,62.6705,24.4016,11.55,G06062;G06165;G06058;G06032
56457123,62.8936,28.1786,12.89,G06032
56655478,63.8338,27.0622,10.34,G06032
58372253,65.2933,27.1679,11.23,G06032
58472992,65.6535,25.6999,10.58,G06032
58542531,65.9796,27.8223,9.79,G06200;G06058;G06032;G06144;20SECONDTARGET

# Sector 071 targets observed (2 min: 157, 20 s: 37)
303502327,51.0293,12.4359,12.63,G06032
387544178,44.2451,7.8593,12.44,G06148;G06032
435259601,51.9998,12.5234,13.26,G06032
247409676,42.1763,20.8094,12.39,G06032
34646336,45.2046,27.3196,13.43,G06032
34781378,46.3307,28.1858,12.07,G06032
35022727,48.4355,25.1973,12.22,G06165;G06058;G06032
426448042,40.202,18.8218,13.46,G06032
436843539,40.4512,24.1023,12.43,G06032
436873727,42.5584,25.3335,7.13,G06200;G06191;G06032;G06148;G06144;20SECONDTARGET
21119973,36.1367,24.1016,13.49,G06032
246965431,35.2137,23.5202,12.08,G06032;G06144;20SECONDTARGET
306204904,30.1831,20.023,12.49,G06148;G06032
306263608,30.9054,21.2816,8.57,G06200;G06058;G06032;G06057;20SECONDTARGET
408643099,35.9112,15.4829,13.19,G06032
408743161,36.5818,15.8904,12.57,G06032
258804746,37.7662,8.3814,9.52,G06200;G06058;G06032;20SECONDTARGET
270380593,32.7823,2.4183,10.73,G06165;G06058;G06155;G06032;G06057;20SECONDTARGET
336961891,30.8849,6.8156,11.98,G06124;G06002;G06032;G06131;20SECONDTARGET
337025682,32.2492,8.0571,13.06,G06032
337129672,33.6305,8.0788,10.6,G06032
408824640,39.065,13.5042,12.5,G06032
420049884,36.2765,1.3235,10.66,G06058;G06032
245793479,67.1577,14.5333,12.59,G06120;G06032;20SECONDTARGET
245947683,70.3751,14.8155,10.21,G06032
293612446,76.8673,16.8677,12.04,G06165;G06058;G06032
399868187,74.375,10.4167,10.54,G06032
436637677,72.1649,12.9552,11.46,G06148;G06032
68577662,73.7669,18.6542,9.31,G06165;G06200;G06058;G06148;G06032;20SECONDTARGET
150006846,69.8413,27.288,12.67,G06032
171160885,67.9988,32.8694,12.5,G06148;G06032
17307715,65.4701,21.3531,11.45,G06058;G06032
17385917,66.1422,23.2707,10.66,G06032
18310799,67.4131,22.8825,10.12,G06040;G06036;G06124;G06165;G06058;G06120;G06032;20SECONDTARGET
18373995,71.0227,22.5676,12.36,G06032
284173938,68.629,32.4766,12.88,G06032
284174392,68.5395,32.8069,13.25,G06032
349582831,66.935,33.0862,12.43,G06032
356990855,76.4317,29.7255,11.42,G06032
366311757,75.9524,31.6579,13.21,G06032
56655478,63.8338,27.0622,10.34,G06032
58372253,65.2933,27.1679,11.23,G06032
58472992,65.6535,25.6999,10.58,G06032
58542531,65.9796,27.8223,9.79,G06200;G06058;G06032;G06144;20SECONDTARGET
125735470,56.6603,27.4715,9.09,G06032
14156936,59.3095,22.3783,11.71,G06032
16005254,63.2663,20.9151,13.22,G06032
23113034,60.8383,25.3438,8.35,G06032
25911962,51.4406,23.1887,10.04,G06032
26017005,52.3421,22.2993,12.55,G06165;G06058;G06032
28961316,50.2753,25.2972,11.32,G06032
29017001,50.7872,24.69,9.58,G06200;G06032;20SECONDTARGET
427578289,54.9102,28.9806,13.37,G06032
467651916,60.6,31.3294,7.78,G06200;G06032;G06144;20SECONDTARGET
467684543,60.9647,31.776,12.54,G06032
56399553,62.6705,24.4016,11.55,G06062;G06165;G06058;G06032
283605976,61.9,11.5175,11.79,G06032
434226736,63.2742,15.2477,13.03,G06040;G06036;G06165;G06058;G06120;G06155;G06032;20SECONDTARGET
435336785,55.1409,13.5528,6.79,G06200;G06032;20SECONDTARGET
468880077,56.5049,9.9903,9.45,G06200;G06032;20SECONDTARGET
115453244,83.654,30.4063,12.23,G06032
115457180,83.8911,31.1645,11.01,G06032
239816546,87.188,32.084,11.98,G06062;G06165;G06058;G06032
312689217,88.9856,34.2658,12.15,G06032
3224605,82.3849,33.2468,11.99,G06148;G06032
3364732,82.5603,31.1817,13.14,G06032
366527844,76.4784,32.7231,12.41,G06032
366754985,77.0065,31.8983,10.82,G06032
367366318,78.2956,33.3178,8.15,G06062;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
69672493,77.395,24.3241,9.64,G06032
76032342,86.0686,28.7915,13.18,G06032
76798849,87.5403,24.7747,12.8,G06032
76882795,87.7188,28.8198,13.21,G06032
80611440,86.8436,25.626,11.24,G06032
127229631,84.98,14.303,13.04,G06032
144700903,85.0801,11.5625,12.68,G06165;G06058;G06155;G06032;G06057;20SECONDTARGET
19155785,81.7158,18.4197,10.22,G06032
200593988,85.336,11.1944,12.31,G06032
247518629,85.9672,16.3601,12.27,G06032
247873937,87.8242,13.7459,12.14,G06032
29374525,86.3008,18.4618,11.83,G06032
302766000,82.8785,15.7713,12.43,G06032
302895184,83.172,14.957,13.12,G06032
302976834,83.4504,16.8108,12.95,G06032
411781649,78.6734,14.4473,13.53,G06032
411839167,78.9198,16.2787,10.82,G06165;G06062;G06058;G06032;G06142;20SECONDTARGET
411930845,79.413,17.7145,10.29,G06032
437856897,83.8659,21.2942,8.65,G06165;G06200;G06194;G06032;G06203;G06142;20SECONDTARGET
52420398,83.9684,12.9259,11.66,G06032
52517713,84.1642,14.9145,13.28,G06032
6853696,81.6423,21.5992,13.45,G06032
91869778,88.8417,15.3784,10.95,G06032
92013169,89.1653,14.7855,9.74,G06032
206906112,97.2149,11.5319,10.64,G06148;G06032
229210014,92.3258,11.4114,12.82,G06032
229285649,98.0242,11.8523,10.77,G06032
306902029,98.0394,17.3805,10.44,G06032
307809773,99.2897,17.5671,7.9,G06124;G06200;G06058;G06155;G06032;20SECONDTARGET
319968129,95.3059,20.8785,10.39,G06032
430093142,96.3195,20.5358,12.85,G06032
437893926,94.018,15.2707,12.44,G06032
437984134,94.5453,15.952,8.16,G06032
438057373,95.1827,14.7836,13.24,G06032
438073782,95.635,14.0176,11.44,G06032
438149332,96.0006,14.0129,13.04,G06032
438519486,100.6546,15.6573,12.56,G06148;G06032
45368525,92.3191,20.2737,12.76,G06032
47132480,97.6212,19.8618,11.77,G06032
172033454,97.6193,31.8805,9.45,G06200;G06032;20SECONDTARGET
284326455,99.898,25.4823,12.23,G06165;G06058;G06155;G06032;20SECONDTARGET
400381085,91.7472,30.1894,12.41,G06032
430099722,96.2346,23.6578,12.8,G06032
81178747,91.7963,27.622,12.91,G06032
84339983,100.848,27.2521,10.51,G06062;G06165;G06058;G06032;G06142;G06203;20SECONDTARGET
84599716,96.6792,25.205,11.79,G06058;G06032
86396382,97.6366,29.6722,11.1,G06062;G06165;G06058;G06057;G06032;G06142;20SECONDTARGET
86898676,98.5951,24.2356,11.44,G06032
87405719,103.0102,25.2009,12.93,G06148;G06032
97735908,92.6641,30.9571,8.22,G06062;G06200;G06058;G06194;G06032;G06142;20SECONDTARGET
101569583,107.9072,28.9239,12.62,G06032
257241363,112.018,30.3214,8.26,G06200;G06032;G06057;20SECONDTARGET
26693519,110.7852,25.5587,10.06,G06032
26826078,111.9164,24.3359,10.28,G06165;G06062;G06058;G06155;G06032;20SECONDTARGET
26865340,112.4778,26.0192,11.48,G06032
367193060,104.4563,25.5153,11.54,G06032
371210825,111.5592,32.3837,10.99,G06032
437011608,106.5693,22.683,7.62,G06200;G06032;G06144;20SECONDTARGET
58723861,104.2141,22.5953,10.23,G06148;G06032
69028091,108.0478,30.1043,12.68,G06032
91287873,104.7438,28.7155,9.84,G06200;G06032;20SECONDTARGET
95122849,114.7419,29.4287,12.05,G06032
14440334,110.6627,16.8657,11.76,G06032
14709225,111.7975,14.9578,12.53,G06032
14770122,113.7583,17.83,11.89,G06062;G06165;G06058;G06032
234388232,112.8915,12.0344,9.34,G06200;G06032;20SECONDTARGET
386197662,104.1347,13.4292,10.8,G06032
387275908,109.7839,12.7768,11.68,G06032
387690507,103.4129,12.8814,13.53,G06058;G06032
403693875,105.0061,11.0431,13.37,G06032
440775339,108.7219,11.9894,11.19,G06032
440777904,108.8251,14.2626,11.31,G06062;G06165;G06058;G06032;G06057;G06142;20SECONDTARGET
59575189,109.1928,18.1218,12.55,G06032
17746821,118.0635,12.1393,11.32,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
19025965,119.6276,12.8832,11.45,G06032
19028197,119.7731,15.3911,10.25,G06124;G06165;G06058;G06155;G06032;G06195;20SECONDTARGET
294500964,122.2281,12.2076,10.78,G06120;G06148;G06032;20SECONDTARGET
334482103,123.2729,9.4476,12.47,G06032
386620582,124.1529,16.3924,11.35,G06056;G06032
388089437,120.9692,11.1355,11.82,G06032
443961200,124.0171,8.8232,11.39,G06032
453211454,117.9245,9.3848,7.93,G06200;G06058;G06032;20SECONDTARGET
6893917,125.6173,13.7353,9.02,G06040;G06062;G06036;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
7059054,126.9366,17.5793,12.24,G06165;G06058;G06032
178217113,127.5787,22.2359,11.05,G06165;G06058;G06032;G06142;20SECONDTARGET
386772576,119.7385,22.7905,12.89,G06032
63189173,118.4831,23.9382,12.8,G06165;G06058;G06032
95660472,121.8632,29.3886,11.98,G06062;G06165;G06032

# Sector 072 targets observed (2 min: 133, 20 s: 41)
206906112,97.2149,11.5319,10.64,G06148;G06032
229285649,98.0242,11.8523,10.77,G06032
306902029,98.0394,17.3805,10.44,G06032
307809773,99.2897,17.5671,7.9,G06124;G06200;G06058;G06155;G06032;20SECONDTARGET
386197662,104.1347,13.4292,10.8,G06032
387690507,103.4129,12.8814,13.53,G06058;G06032
403693875,105.0061,11.0431,13.37,G06032
430093142,96.3195,20.5358,12.85,G06032
438149332,96.0006,14.0129,13.04,G06032
438519486,100.6546,15.6573,12.56,G06148;G06032
47132480,97.6212,19.8618,11.77,G06032
101569583,107.9072,28.9239,12.62,G06032
172033454,97.6193,31.8805,9.45,G06200;G06032;20SECONDTARGET
284326455,99.898,25.4823,12.23,G06165;G06058;G06155;G06032;20SECONDTARGET
367193060,104.4563,25.5153,11.54,G06032
437011608,106.5693,22.683,7.62,G06200;G06032;G06144;20SECONDTARGET
58723861,104.2141,22.5953,10.23,G06148;G06032
69028091,108.0478,30.1043,12.68,G06032
84339983,100.848,27.2521,10.51,G06062;G06165;G06058;G06032;G06142;G06203;20SECONDTARGET
84599716,96.6792,25.205,11.79,G06058;G06032
86396382,97.6366,29.6722,11.1,G06062;G06165;G06058;G06057;G06032;G06142;20SECONDTARGET
86898676,98.5951,24.2356,11.44,G06032
87405719,103.0102,25.2009,12.93,G06148;G06032
91287873,104.7438,28.7155,9.84,G06200;G06032;20SECONDTARGET
115453244,83.654,30.4063,12.23,G06032
115457180,83.8911,31.1645,11.01,G06032
239816546,87.188,32.084,11.98,G06062;G06165;G06058;G06032
312689217,88.9856,34.2658,12.15,G06032
353367071,89.9348,33.507,9.84,G06032
353475866,90.3083,34.773,10.67,G06124;G06165;G06058;G06032;20SECONDTARGET
400381085,91.7472,30.1894,12.41,G06032
76032342,86.0686,28.7915,13.18,G06032
76798849,87.5403,24.7747,12.8,G06032
76882795,87.7188,28.8198,13.21,G06032
79316101,90.0847,26.3532,12.72,G06032
80611440,86.8436,25.626,11.24,G06032
81178747,91.7963,27.622,12.91,G06032
97735908,92.6641,30.9571,8.22,G06062;G06200;G06058;G06194;G06032;G06142;20SECONDTARGET
127229631,84.98,14.303,13.04,G06032
144700903,85.0801,11.5625,12.68,G06165;G06058;G06155;G06032;G06057;20SECONDTARGET
200593988,85.336,11.1944,12.31,G06032
229210014,92.3258,11.4114,12.82,G06032
247518629,85.9672,16.3601,12.27,G06032
247873937,87.8242,13.7459,12.14,G06032
29374525,86.3008,18.4618,11.83,G06032
302976834,83.4504,16.8108,12.95,G06032
319968129,95.3059,20.8785,10.39,G06032
437856897,83.8659,21.2942,8.65,G06165;G06200;G06194;G06032;G06203;G06142;20SECONDTARGET
437893926,94.018,15.2707,12.44,G06032
437984134,94.5453,15.952,8.16,G06032
438057373,95.1827,14.7836,13.24,G06032
45368525,92.3191,20.2737,12.76,G06032
52420398,83.9684,12.9259,11.66,G06032
52517713,84.1642,14.9145,13.28,G06032
91869778,88.8417,15.3784,10.95,G06032
92013169,89.1653,14.7855,9.74,G06032
97568467,90.0626,11.884,9.14,G06165;G06200;G06148;G06032;20SECONDTARGET
97866515,90.6209,16.4994,11.55,G06032
294500964,122.2281,12.2076,10.78,G06120;G06148;G06032;20SECONDTARGET
334482103,123.2729,9.4476,12.47,G06032
366443426,126.6157,10.0804,8.46,G06165;G06200;G06058;G06032;20SECONDTARGET
386620582,124.1529,16.3924,11.35,G06056;G06032
388089437,120.9692,11.1355,11.82,G06032
443961200,124.0171,8.8232,11.39,G06032
468981993,128.7028,8.5694,10.7,G06032
468987719,128.9257,10.2066,12.77,G06165;G06058;G06032
6893917,125.6173,13.7353,9.02,G06040;G06062;G06036;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
7059054,126.9366,17.5793,12.24,G06165;G06058;G06032
126325149,135.4964,27.4749,13.48,G06032
178217113,127.5787,22.2359,11.05,G06165;G06058;G06032;G06142;20SECONDTARGET
203214081,134.7193,21.0741,11.52,G06124;G06155;G06002;G06032;G06144;20SECONDTARGET
130181866,117.4793,27.3631,6.27,G06040;G06036;G06124;G06165;G06200;G06058;G06001;G06032;20SECONDTARGET
257241363,112.018,30.3214,8.26,G06200;G06032;G06057;20SECONDTARGET
26693519,110.7852,25.5587,10.06,G06032
26826078,111.9164,24.3359,10.28,G06165;G06062;G06058;G06155;G06032;20SECONDTARGET
26865340,112.4778,26.0192,11.48,G06032
371210825,111.5592,32.3837,10.99,G06032
386772576,119.7385,22.7905,12.89,G06032
63189173,118.4831,23.9382,12.8,G06165;G06058;G06032
95122849,114.7419,29.4287,12.05,G06032
95660472,121.8632,29.3886,11.98,G06062;G06165;G06032
14440334,110.6627,16.8657,11.76,G06032
14709225,111.7975,14.9578,12.53,G06032
14770122,113.7583,17.83,11.89,G06062;G06165;G06058;G06032
17746821,118.0635,12.1393,11.32,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
19025965,119.6276,12.8832,11.45,G06032
19028197,119.7731,15.3911,10.25,G06124;G06165;G06058;G06155;G06032;G06195;20SECONDTARGET
234388232,112.8915,12.0344,9.34,G06200;G06032;20SECONDTARGET
387275908,109.7839,12.7768,11.68,G06032
440775339,108.7219,11.9894,11.19,G06032
440777904,108.8251,14.2626,11.31,G06062;G06165;G06058;G06032;G06057;G06142;20SECONDTARGET
453211454,117.9245,9.3848,7.93,G06200;G06058;G06032;20SECONDTARGET
59575189,109.1928,18.1218,12.55,G06032
62740096,116.0034,20.2089,13.19,G06032
243244680,136.5743,19.402,9.67,G06165;G06200;G06058;G06032;20SECONDTARGET
91987762,144.5551,23.5466,7.41,G06200;G06191;G06058;G06148;G06032;20SECONDTARGET
192982424,142.5868,12.7064,12.23,G06032
262746281,141.1078,5.766,9.74,G06200;G06148;G06032;20SECONDTARGET
270468559,135.3444,6.097,11.56,G06062;G06165;G06058;G06032
270604417,136.5969,3.5677,10.82,G06058;G06032
270649648,136.8527,4.2899,13.13,G06032
286099128,140.8456,2.9325,12.24,G06032
323658120,137.0377,10.6365,10.77,G06148;G06032
323687123,137.2004,11.8627,12.43,G06155;G06032;G06131;20SECONDTARGET
35285308,139.182,14.5924,12.59,G06032
389040826,141.997,4.2131,12.87,G06032
406495245,143.3176,9.1684,8.29,G06200;G06032;20SECONDTARGET
444013020,133.3243,8.523,11.3,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
458686969,133.8666,10.0453,13.3,G06058;G06032
262736264,149.3665,5.171,12.68,G06148;G06032
344926234,151.5576,3.9465,9.13,G06032
350024178,155.0094,9.3006,13.12,G06032
377064495,148.1849,6.216,9.53,G06165;G06200;G06058;G06032;20SECONDTARGET
377097547,148.601,6.6464,10.81,G06124;G06032;G06131;20SECONDTARGET
453060368,145.8972,0.6151,12.8,G06032
27064468,151.6596,18.634,9.56,G06200;G06032;20SECONDTARGET
63190194,156.6735,13.0186,13.43,G06032
95337971,153.3841,19.9481,12.73,G06032
350348197,166.2697,11.2463,9.19,G06200;G06032;20SECONDTARGET
14344979,163.7888,-0.737,12.34,G06165;G06058;G06032
169226822,160.5588,-3.835,9.63,G06165;G06200;G06058;G06032;G06195;G06142;20SECONDTARGET
169249234,160.8869,-1.9127,12.18,G06032
277833423,156.229,0.4358,12.78,G06032
281731203,163.0323,0.4931,9.96,G06165;G06165;G06200;G06058;G06148;G06032;G06057;20SECONDTARGET
281837575,165.365,5.1395,11.27,G06032
374180079,157.9358,0.9371,10.63,G06165;G06058;G06155;G06092;G06032;20SECONDTARGET
374350678,160.866,3.9587,12.81,G06148;G06032
47384844,162.9649,-5.7887,8.73,G06200;G06032;20SECONDTARGET
144124187,175.8794,-7.2961,11.76,G06148;G06032
281885301,174.9602,0.6036,12.3,G06165;G06058;G06032
35009898,164.7248,-5.5482,12.23,G06032;G06144;20SECONDTARGET
53189332,166.4296,-5.0795,10.99,G06165;G06058;G06057;G06032
380619414,175.9079,6.5638,10.15,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET

# Sector 073 targets observed (2 min: 157, 20 s: 30)
252876117,100.2887,48.8613,13.05,G06032
252912175,104.8409,48.3029,11.8,G06148;G06032
252928337,105.821,52.5163,13.54,G06148;G06032
312811620,94.4326,54.3813,11.33,G06032
104986789,68.0521,52.2526,10.59,G06032
259506033,75.4801,50.1311,12.38,G06165;G06058;G06032
260962960,76.0924,44.3341,12.37,G06032
268172361,83.3795,45.0817,12.99,G06032
274545328,69.4881,52.7162,13.48,G06032
286696849,72.7998,50.0979,12.23,G06032
348099535,69.966,46.6694,11.58,G06148;G06032
367616146,72.2472,44.4194,13.31,G06032
453064665,74.5044,48.3008,11.89,G06062;G06165;G06058;G06032
87597187,81.5782,47.0738,13.1,G06032;G06032
98620619,79.7035,43.8159,13.33,G06032
115457180,83.8911,31.1645,11.01,G06032
116608612,85.6632,35.1857,9.17,G06032
122485078,76.8513,36.2751,10.01,G06032
122695048,77.2982,38.2286,13.08,G06032
127505658,80.9472,35.4176,11.69,G06148;G06032
143687316,80.6116,40.426,12.7,G06032
239816546,87.188,32.084,11.98,G06062;G06165;G06058;G06032
284747017,78.0402,34.7498,11.76,G06032
3224605,82.3849,33.2468,11.99,G06148;G06032
3364732,82.5603,31.1817,13.14,G06032
366311757,75.9524,31.6579,13.21,G06032
366527844,76.4784,32.7231,12.41,G06032
366754985,77.0065,31.8983,10.82,G06032
367366318,78.2956,33.3178,8.15,G06062;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
426319499,86.0435,36.0806,12.64,G06032
67300566,83.653,36.9396,11.55,G06032
172033454,97.6193,31.8805,9.45,G06200;G06032;20SECONDTARGET
174826170,90.8086,41.6494,13.37,G06032
189852832,94.8997,42.3136,12.72,G06032
312689217,88.9856,34.2658,12.15,G06032
353367071,89.9348,33.507,9.84,G06032
353475866,90.3083,34.773,10.67,G06124;G06165;G06058;G06032;20SECONDTARGET
354293303,88.8909,39.1265,12.92,G06032
138168780,94.7928,73.8275,9.88,G06062;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
141488193,105.4046,72.4149,11.04,G06148;G06032
147761049,109.3053,70.7802,12.72,G06032
147797743,110.7354,67.2527,10.74,G06165;G06062;G06058;G06032;G06142;20SECONDTARGET
149833117,104.6286,67.6774,9.52,G06200;G06057;G06032;20SECONDTARGET
302381397,100.0809,76.553,12.25,G06032
313194972,86.6178,75.0455,11.9,G06148;G06032
400093775,87.9525,71.2906,12.54,G06032
400103802,96.9779,74.0081,12.13,G06032
441580526,111.7412,72.2293,12.23,G06032
445805961,94.2844,76.2112,8.91,G06165;G06200;G06058;G06032;20SECONDTARGET
456306892,118.0652,70.1655,11.83,G06148;G06032
468832904,92.6097,71.4121,13.47,G06032
71268730,113.7853,71.4007,12.46,G06032
102713734,62.1993,67.1165,10.81,G06032
102719996,62.5209,70.9157,12.8,G06032
103096524,61.0551,75.4966,12.85,G06032
103195323,62.5729,75.1709,10.1,G06032
281196902,69.7472,66.6712,12.08,G06032
302773669,42.4373,71.753,7.63,G06165;G06200;G06191;G06058;G06148;G06032;20SECONDTARGET
417646390,77.613,70.3911,10.86,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
417676091,82.2508,68.4814,12.82,G06032
428703516,47.4171,75.0476,11.71,G06032
468777766,76.4238,67.8203,12.99,G06032;G06148
85429139,53.4201,68.6126,10.77,G06032
85791385,58.2046,68.7775,13.49,G06032
86075481,60.2739,67.5076,12.41,G06032
252430813,76.8252,59.7295,13.42,G06032
321894059,84.6138,57.0314,12.41,G06032
339250695,84.79,60.4243,13.13,G06032
66091052,70.9799,61.8593,9.9,G06032
66296167,72.0967,62.0627,13.75,G06032
8400842,65.4696,57.8172,9.44,G06062;G06165;G06200;G06058;G06032;G06203;G06142;20SECONDTARGET
9443323,68.8465,56.8683,12.2,G06165;G06058;G06032
321250206,95.1212,58.0942,12.34,G06032
445751830,91.0036,55.0199,13.19,G06165;G06032
88385463,104.6033,59.9729,12.34,G06032
279947414,39.4299,80.2674,11.52,G06165;G06120;G06032;20SECONDTARGET
395393265,26.3393,77.7901,10.71,G06062;G06124;G06165;G06032;G06142;20SECONDTARGET
396562848,44.3459,76.5505,11.05,G06124;G06058;G06155;G06002;G06032;20SECONDTARGET
407394748,5.4208,77.8801,9.53,G06032
459837008,65.0666,84.9003,12.26,G06032;G06131
461591646,5.8008,84.4528,10.99,G06032
