# TESS Program G04047

Title: TESS Photometry Of A Sample Of Sb2 Eclipsing Binaries

PI: Helminiak, Krzysztof - Copernicus Astronomical Center

Type: MINI

Summary: We intend to obtain very high precision light curves of a sample of detached eclipsing and double-lined spectroscopic (SB2) binaries, which have a large number of new and unpublished high-resolution spectra (from our own observations). In total, there are over 380 stars in the programme, 76 of which are available for TESS in Cycle 4. The light curves will be combined with the precise radial velocity (RV) measurements in order to obtain accurate and precise, absolute stellar parameters.
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
52124859,40.6513,12.7353,8.71,G04047
44748342,91.2704,20.5369,11.66,G04047
46259520,132.5083,17.8742,10.21,G04047

# Sector 040 targets observed (2 min: 12, 20 s: 0)
285392907,272.8869,23.9202,9.8,G04047
342645261,276.8268,19.1426,10.91,G04047
353650675,288.9481,18.2115,10.14,G04047;G04171
395035994,287.2159,15.1722,10.18,G04047
93316328,293.4679,15.9408,10.85,G04047;G04171
198354348,255.9706,57.3654,10.24,G04047
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7425,39.2671,7.75,G04047;G04103;G04171
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
376595143,86.683,75.349,10.38,G04047;G04171
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 041 targets observed (2 min: 13, 20 s: 0)
247317885,314.886,24.1323,10.42,G04047;G04171
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7424,39.267,7.67,G04047;G04103;G04171
272606395,296.665,44.8531,11.31,G04047;G04171
27915909,296.826,48.4434,10.39,G04047;G04171
295803225,303.8413,48.2871,10.46,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047
282925798,226.959,63.1171,6.42,G04047;G04171;G04234;G04103
142783746,153.9027,76.6984,10.34,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
142791832,162.2576,67.2145,9.96,G04047;G04171;G04234
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 042 targets observed (2 min: 12, 20 s: 0)
49590068,349.8424,-8.8704,9.78,G04047
407966951,331.2188,-1.1669,9.78,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
388815892,18.5667,4.4395,9.95,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171

# Sector 043 targets observed (2 min: 11, 20 s: 0)
388815892,18.5667,4.4395,9.95,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
44748342,91.2704,20.5369,11.66,G04047

# Sector 044 targets observed (2 min: 5, 20 s: 0)
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
52124859,40.6513,12.7353,8.71,G04047
44748342,91.2704,20.5369,11.66,G04047
46259520,132.5083,17.8742,10.21,G04047

# Sector 040 targets observed (2 min: 12, 20 s: 0)
285392907,272.8869,23.9202,9.8,G04047
342645261,276.8268,19.1426,10.91,G04047
353650675,288.9481,18.2115,10.14,G04047;G04171
395035994,287.2159,15.1722,10.18,G04047
93316328,293.4679,15.9408,10.85,G04047;G04171
198354348,255.9706,57.3654,10.24,G04047
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7425,39.2671,7.75,G04047;G04103;G04171
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
376595143,86.683,75.349,10.38,G04047;G04171
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 041 targets observed (2 min: 13, 20 s: 0)
247317885,314.886,24.1323,10.42,G04047;G04171
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7424,39.267,7.67,G04047;G04103;G04171
272606395,296.665,44.8531,11.31,G04047;G04171
27915909,296.826,48.4434,10.39,G04047;G04171
295803225,303.8413,48.2871,10.46,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047
282925798,226.959,63.1171,6.42,G04047;G04171;G04234;G04103
142783746,153.9027,76.6984,10.34,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
142791832,162.2576,67.2145,9.96,G04047;G04171;G04234
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 042 targets observed (2 min: 12, 20 s: 0)
49590068,349.8424,-8.8704,9.78,G04047
407966951,331.2188,-1.1669,9.78,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
388815892,18.5667,4.4395,9.95,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171

# Sector 043 targets observed (2 min: 11, 20 s: 0)
388815892,18.5667,4.4395,9.95,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
44748342,91.2704,20.5369,11.66,G04047

# Sector 044 targets observed (2 min: 5, 20 s: 0)
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
52124859,40.6513,12.7353,8.71,G04047
44748342,91.2704,20.5369,11.66,G04047
46259520,132.5083,17.8742,10.21,G04047

# Sector 045 targets observed (2 min: 5, 20 s: 0)
44748342,91.2704,20.5369,11.66,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
46259520,132.5083,17.8742,10.21,G04047
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234

# Sector 046 targets observed (2 min: 8, 20 s: 0)
46259520,132.5083,17.8742,10.21,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
240173922,168.9839,14.7034,8.93,G04047;G04103
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234
380642488,179.1345,7.2972,8.67,G04047
183655984,196.025,-8.0745,9.9,G04047
345899523,192.8901,-15.5152,11.31,G04047;G04171

# Sector 040 targets observed (2 min: 12, 20 s: 0)
285392907,272.8869,23.9202,9.8,G04047
342645261,276.8268,19.1426,10.91,G04047
353650675,288.9481,18.2115,10.14,G04047;G04171
395035994,287.2159,15.1722,10.18,G04047
93316328,293.4679,15.9408,10.85,G04047;G04171
198354348,255.9706,57.3654,10.24,G04047
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7425,39.2671,7.75,G04047;G04103;G04171
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
376595143,86.683,75.349,10.38,G04047;G04171
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 041 targets observed (2 min: 13, 20 s: 0)
247317885,314.886,24.1323,10.42,G04047;G04171
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7424,39.267,7.67,G04047;G04103;G04171
272606395,296.665,44.8531,11.31,G04047;G04171
27915909,296.826,48.4434,10.39,G04047;G04171
295803225,303.8413,48.2871,10.46,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047
282925798,226.959,63.1171,6.42,G04047;G04171;G04234;G04103
142783746,153.9027,76.6984,10.34,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
142791832,162.2576,67.2145,9.96,G04047;G04171;G04234
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 042 targets observed (2 min: 12, 20 s: 0)
49590068,349.8424,-8.8704,9.78,G04047
407966951,331.2188,-1.1669,9.78,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
388815892,18.5667,4.4395,9.95,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171

# Sector 043 targets observed (2 min: 11, 20 s: 0)
388815892,18.5667,4.4395,9.95,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
44748342,91.2704,20.5369,11.66,G04047

# Sector 044 targets observed (2 min: 5, 20 s: 0)
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
52124859,40.6513,12.7353,8.71,G04047
44748342,91.2704,20.5369,11.66,G04047
46259520,132.5083,17.8742,10.21,G04047

# Sector 045 targets observed (2 min: 5, 20 s: 0)
44748342,91.2704,20.5369,11.66,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
46259520,132.5083,17.8742,10.21,G04047
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234

# Sector 046 targets observed (2 min: 8, 20 s: 0)
46259520,132.5083,17.8742,10.21,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
240173922,168.9839,14.7034,8.93,G04047;G04103
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234
380642488,179.1345,7.2972,8.67,G04047
183655984,196.025,-8.0745,9.9,G04047
345899523,192.8901,-15.5152,11.31,G04047;G04171

# Sector 040 targets observed (2 min: 12, 20 s: 0)
285392907,272.8869,23.9202,9.8,G04047
342645261,276.8268,19.1426,10.91,G04047
353650675,288.9481,18.2115,10.14,G04047;G04171
395035994,287.2159,15.1722,10.18,G04047
93316328,293.4679,15.9408,10.85,G04047;G04171
198354348,255.9706,57.3654,10.24,G04047
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7425,39.2671,7.75,G04047;G04103;G04171
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
376595143,86.683,75.349,10.38,G04047;G04171
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 041 targets observed (2 min: 13, 20 s: 0)
247317885,314.886,24.1323,10.42,G04047;G04171
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7424,39.267,7.67,G04047;G04103;G04171
272606395,296.665,44.8531,11.31,G04047;G04171
27915909,296.826,48.4434,10.39,G04047;G04171
295803225,303.8413,48.2871,10.46,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047
282925798,226.959,63.1171,6.42,G04047;G04171;G04234;G04103
142783746,153.9027,76.6984,10.34,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
142791832,162.2576,67.2145,9.96,G04047;G04171;G04234
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 042 targets observed (2 min: 12, 20 s: 0)
49590068,349.8424,-8.8704,9.78,G04047
407966951,331.2188,-1.1669,9.78,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
388815892,18.5667,4.4395,9.95,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171

# Sector 043 targets observed (2 min: 11, 20 s: 0)
388815892,18.5667,4.4395,9.95,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
44748342,91.2704,20.5369,11.66,G04047

# Sector 044 targets observed (2 min: 5, 20 s: 0)
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
52124859,40.6513,12.7353,8.71,G04047
44748342,91.2704,20.5369,11.66,G04047
46259520,132.5083,17.8742,10.21,G04047

# Sector 045 targets observed (2 min: 5, 20 s: 0)
44748342,91.2704,20.5369,11.66,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
46259520,132.5083,17.8742,10.21,G04047
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234

# Sector 046 targets observed (2 min: 8, 20 s: 0)
46259520,132.5083,17.8742,10.21,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
240173922,168.9839,14.7034,8.93,G04047;G04103
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234
380642488,179.1345,7.2972,8.67,G04047
183655984,196.025,-8.0745,9.9,G04047
345899523,192.8901,-15.5152,11.31,G04047;G04171

# Sector 047 targets observed (2 min: 4, 20 s: 0)
147576476,144.5429,70.632,8.61,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047

# Sector 040 targets observed (2 min: 12, 20 s: 0)
285392907,272.8869,23.9202,9.8,G04047
342645261,276.8268,19.1426,10.91,G04047
353650675,288.9481,18.2115,10.14,G04047;G04171
395035994,287.2159,15.1722,10.18,G04047
93316328,293.4679,15.9408,10.85,G04047;G04171
198354348,255.9706,57.3654,10.24,G04047
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7425,39.2671,7.75,G04047;G04103;G04171
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
376595143,86.683,75.349,10.38,G04047;G04171
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 041 targets observed (2 min: 13, 20 s: 0)
247317885,314.886,24.1323,10.42,G04047;G04171
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7424,39.267,7.67,G04047;G04103;G04171
272606395,296.665,44.8531,11.31,G04047;G04171
27915909,296.826,48.4434,10.39,G04047;G04171
295803225,303.8413,48.2871,10.46,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047
282925798,226.959,63.1171,6.42,G04047;G04171;G04234;G04103
142783746,153.9027,76.6984,10.34,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
142791832,162.2576,67.2145,9.96,G04047;G04171;G04234
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 042 targets observed (2 min: 12, 20 s: 0)
49590068,349.8424,-8.8704,9.78,G04047
407966951,331.2188,-1.1669,9.78,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
388815892,18.5667,4.4395,9.95,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171

# Sector 043 targets observed (2 min: 11, 20 s: 0)
388815892,18.5667,4.4395,9.95,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
44748342,91.2704,20.5369,11.66,G04047

# Sector 044 targets observed (2 min: 5, 20 s: 0)
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
52124859,40.6513,12.7353,8.71,G04047
44748342,91.2704,20.5369,11.66,G04047
46259520,132.5083,17.8742,10.21,G04047

# Sector 045 targets observed (2 min: 5, 20 s: 0)
44748342,91.2704,20.5369,11.66,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
46259520,132.5083,17.8742,10.21,G04047
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234

# Sector 046 targets observed (2 min: 8, 20 s: 0)
46259520,132.5083,17.8742,10.21,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
240173922,168.9839,14.7034,8.93,G04047;G04103
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234
380642488,179.1345,7.2972,8.67,G04047
183655984,196.025,-8.0745,9.9,G04047
345899523,192.8901,-15.5152,11.31,G04047;G04171

# Sector 047 targets observed (2 min: 4, 20 s: 0)
147576476,144.5429,70.632,8.61,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047

# Sector 040 targets observed (2 min: 12, 20 s: 0)
285392907,272.8869,23.9202,9.8,G04047
342645261,276.8268,19.1426,10.91,G04047
353650675,288.9481,18.2115,10.14,G04047;G04171
395035994,287.2159,15.1722,10.18,G04047
93316328,293.4679,15.9408,10.85,G04047;G04171
198354348,255.9706,57.3654,10.24,G04047
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7425,39.2671,7.75,G04047;G04103;G04171
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
376595143,86.683,75.349,10.38,G04047;G04171
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 041 targets observed (2 min: 13, 20 s: 0)
247317885,314.886,24.1323,10.42,G04047;G04171
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7424,39.267,7.67,G04047;G04103;G04171
272606395,296.665,44.8531,11.31,G04047;G04171
27915909,296.826,48.4434,10.39,G04047;G04171
295803225,303.8413,48.2871,10.46,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047
282925798,226.959,63.1171,6.42,G04047;G04171;G04234;G04103
142783746,153.9027,76.6984,10.34,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
142791832,162.2576,67.2145,9.96,G04047;G04171;G04234
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 042 targets observed (2 min: 12, 20 s: 0)
49590068,349.8424,-8.8704,9.78,G04047
407966951,331.2188,-1.1669,9.78,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
388815892,18.5667,4.4395,9.95,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171

# Sector 043 targets observed (2 min: 11, 20 s: 0)
388815892,18.5667,4.4395,9.95,G04047
10756751,9.2298,-5.874,9.42,G04047;G04171;G04234
213005535,10.2135,-0.9623,9.62,G04047
3816260,10.1351,-6.481,10.1,G04047;G04171
408834852,39.128,12.1425,9.24,G04047
52124859,40.6513,12.7353,8.71,G04047
246971220,35.5275,22.8736,5.82,G04047;G04171
408627978,35.796,16.5099,10.69,G04047
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
44748342,91.2704,20.5369,11.66,G04047

# Sector 044 targets observed (2 min: 5, 20 s: 0)
311128363,54.7953,11.0899,9.53,G04047;G04171
445921773,57.3624,11.1442,7.01,G04047;G04171
52124859,40.6513,12.7353,8.71,G04047
44748342,91.2704,20.5369,11.66,G04047
46259520,132.5083,17.8742,10.21,G04047

# Sector 045 targets observed (2 min: 5, 20 s: 0)
44748342,91.2704,20.5369,11.66,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
46259520,132.5083,17.8742,10.21,G04047
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234

# Sector 046 targets observed (2 min: 8, 20 s: 0)
46259520,132.5083,17.8742,10.21,G04047
307679747,129.3754,23.5616,9.38,G04047;G04103
240173922,168.9839,14.7034,8.93,G04047;G04103
425281171,168.1873,0.3478,7.97,G04047;G04103;G04223
380618882,175.9935,9.9543,10.26,G04047;G04171;G04234
380642488,179.1345,7.2972,8.67,G04047
183655984,196.025,-8.0745,9.9,G04047
345899523,192.8901,-15.5152,11.31,G04047;G04171

# Sector 047 targets observed (2 min: 4, 20 s: 0)
147576476,144.5429,70.632,8.61,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047

# Sector 040 targets observed (2 min: 12, 20 s: 0)
285392907,272.8869,23.9202,9.8,G04047
342645261,276.8268,19.1426,10.91,G04047
353650675,288.9481,18.2115,10.14,G04047;G04171
395035994,287.2159,15.1722,10.18,G04047
93316328,293.4679,15.9408,10.85,G04047;G04171
198354348,255.9706,57.3654,10.24,G04047
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7425,39.2671,7.75,G04047;G04103;G04171
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
376595143,86.683,75.349,10.38,G04047;G04171
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

# Sector 041 targets observed (2 min: 13, 20 s: 0)
247317885,314.886,24.1323,10.42,G04047;G04171
121598562,288.2709,40.4003,11.07,G04047;G04171;G04234
394177355,289.7424,39.267,7.67,G04047;G04103;G04171
272606395,296.665,44.8531,11.31,G04047;G04171
27915909,296.826,48.4434,10.39,G04047;G04171
295803225,303.8413,48.2871,10.46,G04047;G04171;G04234
198354348,255.9706,57.3654,10.24,G04047
282925798,226.959,63.1171,6.42,G04047;G04171;G04234;G04103
142783746,153.9027,76.6984,10.34,G04047;G04171;G04234
160228595,181.712,77.3158,10.31,G04047;G04171
365936982,180.1827,77.0834,9.84,G04047;G04171;G04234
142791832,162.2576,67.2145,9.96,G04047;G04171;G04234
147576476,144.5429,70.632,8.61,G04047;G04171;G04234

